ano,semana_epidemiologica,fecha_inicio_semana_epidemiologica,grupo_etario,departamento_residencia,dengue confirmed,,semana_epidemiologica,Semena
2024,2,2024-01-07,"[10,20)",COMUNA 4,1,,,
2024,2,2024-01-07,"[20,30)",COMUNA 4,1,,,
2024,2,2024-01-07,"[30,40)",COMUNA 4,2,,,
2024,2,2024-01-07,"[40,50)",COMUNA 4,3,,,
2024,2,2024-01-07,"[50,60)",COMUNA 4,2,,,
2024,2,2024-01-07,"[60,70)",COMUNA 4,2,,,
2024,2,2024-01-07,"[70,80)",COMUNA 4,1,,,
2024,2,2024-01-07,"[0,10)",COMUNA 5,0,,,
2024,2,2024-01-07,"[10,20)",COMUNA 5,0,,,
2024,2,2024-01-07,"[20,30)",COMUNA 5,1,,,
2024,2,2024-01-07,"[30,40)",COMUNA 5,0,,,
2024,2,2024-01-07,"[40,50)",COMUNA 5,1,,,
2024,2,2024-01-07,"[50,60)",COMUNA 5,1,,,
2024,2,2024-01-07,"[60,70)",COMUNA 5,0,,,
2024,2,2024-01-07,"[10,20)",COMUNA 6,1,,,
2024,2,2024-01-07,"[20,30)",COMUNA 6,1,,,
2024,2,2024-01-07,"[30,40)",COMUNA 6,0,,,
2024,2,2024-01-07,"[40,50)",COMUNA 6,0,,,
2024,2,2024-01-07,"[50,60)",COMUNA 6,2,,,
2024,2,2024-01-07,"[60,70)",COMUNA 6,1,,,
2024,2,2024-01-07,"[70,80)",COMUNA 6,0,,,
2024,2,2024-01-07,"[0,10)",COMUNA 7,0,,,
2024,2,2024-01-07,"[10,20)",COMUNA 7,0,,,
2024,2,2024-01-07,"[20,30)",COMUNA 7,0,,,
2024,2,2024-01-07,"[30,40)",COMUNA 7,0,,,
2024,2,2024-01-07,"[40,50)",COMUNA 7,0,,,
2024,2,2024-01-07,"[50,60)",COMUNA 7,0,,,
2024,2,2024-01-07,"[60,70)",COMUNA 7,0,,,
2024,2,2024-01-07,"[80,90)",COMUNA 7,0,,,
2024,2,2024-01-07,"[0,10)",COMUNA 8,1,,,
2024,2,2024-01-07,"[10,20)",COMUNA 8,1,,,
2024,2,2024-01-07,"[20,30)",COMUNA 8,1,,,
2024,2,2024-01-07,"[30,40)",COMUNA 8,2,,,
2024,2,2024-01-07,"[40,50)",COMUNA 8,3,,,
2024,2,2024-01-07,"[50,60)",COMUNA 8,1,,,
2024,2,2024-01-07,"[60,70)",COMUNA 8,0,,,
2024,2,2024-01-07,"[70,80)",COMUNA 8,0,,,
2024,2,2024-01-07,"[80,90)",COMUNA 8,0,,,
2024,2,2024-01-07,"[10,20)",COMUNA 9,0,,,
2024,2,2024-01-07,"[20,30)",COMUNA 9,0,,,
2024,2,2024-01-07,"[30,40)",COMUNA 9,1,,,
2024,2,2024-01-07,"[40,50)",COMUNA 9,0,,,
2024,2,2024-01-07,"[50,60)",COMUNA 9,0,,,
2024,2,2024-01-07,"[60,70)",COMUNA 9,0,,,
2024,2,2024-01-07,"[0,10)",SIN DATOS,0,,,
2024,2,2024-01-07,"[10,20)",SIN DATOS,1,,,
2024,2,2024-01-07,"[20,30)",SIN DATOS,2,,,
2024,2,2024-01-07,"[30,40)",SIN DATOS,0,,,
2024,2,2024-01-07,"[40,50)",SIN DATOS,2,,,
2024,2,2024-01-07,"[50,60)",SIN DATOS,0,,,
2024,3,2024-01-14,"[0,10)",COMUNA 1,0,,,
2024,3,2024-01-14,"[10,20)",COMUNA 1,1,,,
2024,3,2024-01-14,"[20,30)",COMUNA 1,5,,,
2024,3,2024-01-14,"[30,40)",COMUNA 1,4,,,
2024,3,2024-01-14,"[40,50)",COMUNA 1,1,,,
2024,3,2024-01-14,"[50,60)",COMUNA 1,0,,,
2024,3,2024-01-14,"[70,80)",COMUNA 1,1,,,
2024,3,2024-01-14,"[10,20)",COMUNA 10,0,,,
2024,3,2024-01-14,"[20,30)",COMUNA 10,0,,,
2024,3,2024-01-14,"[30,40)",COMUNA 10,0,,,
2024,3,2024-01-14,"[40,50)",COMUNA 10,0,,,
2024,3,2024-01-14,"[50,60)",COMUNA 10,1,,,
2024,3,2024-01-14,"[60,70)",COMUNA 10,0,,,
2024,3,2024-01-14,"[70,80)",COMUNA 10,0,,,
2024,3,2024-01-14,"[10,20)",COMUNA 11,0,,,
2024,3,2024-01-14,"[20,30)",COMUNA 11,4,,,
2024,3,2024-01-14,"[30,40)",COMUNA 11,3,,,
2024,3,2024-01-14,"[40,50)",COMUNA 11,2,,,
2024,3,2024-01-14,"[60,70)",COMUNA 11,1,,,
2024,3,2024-01-14,"[0,10)",COMUNA 12,0,,,
2024,3,2024-01-14,"[10,20)",COMUNA 12,3,,,
2024,3,2024-01-14,"[20,30)",COMUNA 12,2,,,
2024,3,2024-01-14,"[30,40)",COMUNA 12,1,,,
2024,3,2024-01-14,"[40,50)",COMUNA 12,1,,,
2024,3,2024-01-14,"[50,60)",COMUNA 12,1,,,
2024,3,2024-01-14,"[0,10)",COMUNA 13,0,,,
2024,3,2024-01-14,"[20,30)",COMUNA 13,0,,,
